color,price,model,specs,engine,bodytype,mileage,city
Unspecified,"$24,000 ",2016 Toyota RAV4 XLE,"Used 2016 Toyota RAV4 XLE with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,SUV,"Mileage: 8,900 miles",Boston
Red,"$17,250 ",2014 Hyundai Tucson GLS,"Used 2014 Hyundai Tucson GLS with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,SUV,"Mileage: 20,998 miles",Boston
Black,"$18,995 ",2017 Volkswagen Passat R-Line,"Used 2017 Volkswagen Passat R-Line with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,Sedan,"Mileage: 20,415 miles",Boston
Gray,"$14,944 ",2014 Nissan Rogue S,"Used 2014 Nissan Rogue S with AWD, Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration, Power Mirrors",4 Cyl,SUV,"Mileage: 26,932 miles",Boston
Silver,"$26,460 ",2012 Acura MDX Technology,"Used 2012 Acura MDX Technology with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Third Row Seating, Navigation System, Cruise Control, Heated Seats, Rear-View Camera, DVD, Air Conditioning",6 Cyl,SUV,"Mileage: 32,889 miles",Boston
Unspecified,"$10,500 ",2014 Ford Focus SE,"Used 2014 Ford Focus SE with FWD, Cruise Control, Air Conditioning, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration, Power Mirrors",4 Cyl,Sedan,"Mileage: 31,795 miles",Boston
Gray,"$15,890 ",2015 Kia Optima EX,"Used 2015 Kia Optima EX with FWD, Leather Seats, Heated Seats, Rear-View Camera, AM/FM, Power Mirrors",4 Cyl,Sedan,"Mileage: 26,193 miles",Boston
White,"$18,988 ",2014 Toyota Venza LE,"Used 2014 Toyota Venza LE with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,Wagon,"Mileage: 32,153 miles",Boston
Silver,"$12,770 ",2014 Hyundai Sonata GLS,"Used 2014 Hyundai Sonata GLS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,Sedan,"Mileage: 31,968 miles",Boston
Unspecified,"$12,377 ",2016 Kia Forte LX,"Used 2016 Kia Forte LX with FWD, Keyless Entry, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers, Power Locks",4 Cyl,Sedan,"Mileage: 2,148 miles",Boston
