model,bodytype,color,specs,engine,mileage,price,city
2013 Nissan Rogue SV,SUV,Gray,"Used 2013 Nissan Rogue SV with AWD, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster",4 Cyl,"Mileage: 51,484 miles","$14,112 ",NYC
2015 Chevrolet Cruze LT,Sedan,Gray,,4 Cyl,"Mileage: 3,650 miles","$12,995 ",NYC
2014 Jeep Grand Cherokee Altitude,SUV,Silver,"Used 2014 Jeep Grand Cherokee Altitude with 4WD, Remote Start, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 28,716 miles","$25,500 ",NYC
2015 Toyota Sienna XLE,Minivan,Black,"Used 2015 Toyota Sienna XLE with FWD, Leather Seats, Fog Lights, Third Row Seating, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Power Seat (Driver)",6 Cyl,"Mileage: 19,410 miles","$27,688 ",NYC
2013 BMW X5 xDrive35i,SUV,Gray,"Used 2013 BMW X5 xDrive35i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3",6 Cyl,"Mileage: 53,810 miles","$26,699 ",NYC
2015 Toyota Corolla S,Sedan,White,"Used 2015 Toyota Corolla S with FWD, Alloy Wheels, Rear-View Camera, Handsfree/Bluetooth Integration",4 Cyl,"Mileage: 24,388 miles","$14,880 ",NYC
2015 Subaru XV Crosstrek Premium,SUV,Orange,"Used 2015 Subaru XV Crosstrek Premium with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",4 Cyl,"Mileage: 26,142 miles","$18,995 ",NYC
2016 Infiniti Q50 Sport,Sedan,White,"Used 2016 Infiniti Q50 Sport with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,"Mileage: 7,460 miles","$32,895 ",NYC
2013 Subaru Legacy 2.5i Limited,Sedan,Black,"Used 2013 Subaru Legacy 2.5i Limited with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",4 Cyl,"Mileage: 47,793 miles","$14,997 ",NYC
2014 Jeep Patriot Latitude,SUV,Gray,"Used 2014 Jeep Patriot Latitude with 4WD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",4 Cyl,"Mileage: 17,297 miles","$16,000 ",NYC
2015 Mini Cooper Countryman S,SUV,Unspecified,"Used 2015 Mini Cooper Countryman S with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",4 Cyl,"Mileage: 8,504 miles","$22,000 ",NYC
2014 Jeep Patriot Latitude,SUV,Gray,"Used 2014 Jeep Patriot Latitude with 4WD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",4 Cyl,"Mileage: 17,297 miles","$16,000 ",NYC
2015 Mini Cooper Countryman S,SUV,Unspecified,"Used 2015 Mini Cooper Countryman S with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",4 Cyl,"Mileage: 8,504 miles","$22,000 ",NYC
2015 Hyundai Tucson GLS,SUV,Gray,"Used 2015 Hyundai Tucson GLS with AWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,"Mileage: 16,796 miles","$17,900 ",NYC
2015 Jeep Grand Cherokee Limited Edition,SUV,Black,"Used 2015 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Navigation System, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter",6 Cyl,"Mileage: 26,665 miles","$30,051 ",NYC
2014 Honda Odyssey EX,Minivan,Black,"Used 2014 Honda Odyssey EX with FWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,"Mileage: 30,800 miles","$24,391 ",NYC
2016 Ford Explorer Sport,SUV,Gray,"Used 2016 Ford Explorer Sport with 4WD, Leather Seats, Cruise Control, Heated Seats",6 Cyl,"Mileage: 5,923 miles","$38,995 ",NYC
2015 Audi RS7 Prestige,Hatchback,Unspecified,"Used 2015 Audi RS7 Prestige with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, DVD",8 Cyl,"Mileage: 28,488 miles","$79,933 ",NYC
2014 Jeep Grand Cherokee Laredo,SUV,Silver,"Used 2014 Jeep Grand Cherokee Laredo with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",6 Cyl,"Mileage: 36,391 miles","$22,495 ",NYC
2015 Audi Q7 Premium Plus,SUV,White,"Used 2015 Audi Q7 Premium Plus with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,"Mileage: 24,788 miles","$39,000 ",NYC
2013 Toyota Highlander Limited,SUV,White,"Used 2013 Toyota Highlander Limited with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,"Mileage: 41,401 miles","$27,870 ",NYC
2016 Chevrolet Malibu LS,Sedan,Silver,"Used 2016 Chevrolet Malibu LS with FWD, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, AM/FM, Rear Window Defroster, Handsfree/Bluetooth Integration, Front Airbags (Driver)",4 Cyl,"Mileage: 2,179 miles","$14,988 ",NYC
2015 Toyota Tacoma SR5,Pickup,Gray,"Used 2015 Toyota Tacoma SR5 with 4WD, Double Cab, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats",6 Cyl,"Mileage: 10,786 miles","$29,596 ",NYC
2014 BMW 5 Series 550i xDrive,Sedan,Black,"Used 2014 BMW 5 Series 550i xDrive with AWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering, Power Windows",8 Cyl,"Mileage: 51,853 miles","$30,690 ",NYC
2016 Ford F-150 Lariat,Pickup,White,"Used 2016 Ford F-150 Lariat with 4WD, Rear-View Camera, 4-Wheel Disc Brakes, Trip Computer",6 Cyl,"Mileage: 5,426 miles","$41,971 ",NYC
2016 Toyota Tacoma SR5,Pickup,Black,"Used 2016 Toyota Tacoma SR5 with 4WD, Double Cab, Fog Lights, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",6 Cyl,"Mileage: 48,012 miles","$26,841 ",NYC
2013 Ford Edge SEL,SUV,Black,"Used 2013 Ford Edge SEL with AWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 46,162 miles","$21,000 ",NYC
2014 Audi A6 2.0T,Sedan,White,"Used 2014 Audi A6 2.0T with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, AM/FM",4 Cyl,"Mileage: 50,916 miles","$24,296 ",NYC
2015 Toyota Sienna Limited,Minivan,Silver,"Used 2015 Toyota Sienna Limited with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,"Mileage: 14,479 miles","$28,491 ",NYC
2014 BMW X3 xDrive28i,SUV,White,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 72,170 miles","$19,799 ",NYC
2014 Mercedes-Benz M-Class AMG ML 63,SUV,Black,"Used 2014 Mercedes-Benz M-Class AMG ML 63 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",8 Cyl,"Mileage: 51,217 miles","$43,996 ",NYC
2014 Jeep Grand Cherokee Laredo,SUV,Black,"Used 2014 Jeep Grand Cherokee Laredo with 4WD, Fog Lights, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer, Intermittent Wipers",6 Cyl,"Mileage: 35,016 miles","$22,900 ",NYC
2014 Toyota Camry SE,Sedan,Silver,"Used 2014 Toyota Camry SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,"Mileage: 90,133 miles","$10,613 ",NYC
2015 Jeep Wrangler Sahara,SUV,Red,"Used 2015 Jeep Wrangler Sahara with 4WD, Fog Lights, Alloy Wheels, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM",6 Cyl,"Mileage: 23,476 miles","$31,839 ",NYC
2015 BMW 5 Series 528i xDrive,Sedan,White,"Used 2015 BMW 5 Series 528i xDrive with AWD, Fog Lights, Power Sun/Moonroof, Navigation System, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,"Mileage: 18,890 miles","$31,995 ",NYC
2014 BMW 7 Series 750Li,Sedan,Blue,"Used 2014 BMW 7 Series 750Li with RWD, Leather Seats, Navigation System, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",8 Cyl,"Mileage: 46,390 miles","$36,995 ",NYC
2012 Mercedes-Benz GL-Class GL 450,SUV,Black,"Used 2012 Mercedes-Benz GL-Class GL 450 with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats",8 Cyl,"Mileage: 81,408 miles","$23,995 ",NYC
2015 Lexus RX 350,SUV,Gray,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 13,580 miles","$35,182 ",NYC
2014 Subaru Outback 2.5i Limited,Wagon,Gray,"Used 2014 Subaru Outback 2.5i Limited with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",4 Cyl,"Mileage: 47,182 miles","$19,902 ",NYC
2009 Chevrolet Aveo LT,Sedan,Unspecified,"Used 2009 Chevrolet Aveo LT with FWD, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",4 Cyl,"Mileage: 66,354 miles","$5,795 ",NYC
2015 Jeep Grand Cherokee Limited Edition,SUV,Gray,"Used 2015 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats",6 Cyl,"Mileage: 8,624 miles","$31,995 ",NYC
2015 Chevrolet Equinox LS,SUV,Silver,"Used 2015 Chevrolet Equinox LS with FWD, Cruise Control, Satellite Radio, Aux Audio Adapter, Handsfree/Bluetooth Integration",4 Cyl,"Mileage: 42,088 miles","$15,939 ",NYC
2012 Honda Accord LX,Sedan,Silver,"Used 2012 Honda Accord LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",4 Cyl,"Mileage: 66,613 miles","$10,777 ",NYC
2015 BMW i3 Range Extender,Hatchback,White,"Used 2015 BMW i3 Range Extender with RWD, Leather Seats, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",2 Cyl,"Mileage: 8,192 miles","$27,399 ",NYC
2017 Chevrolet Cruze LS,Sedan,Black,"Used 2017 Chevrolet Cruze LS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Power Locks",4 Cyl,"Mileage: 9,171 miles","$13,999 ",NYC
2016 Lexus ES 300h,Sedan,Silver,"Used 2016 Lexus ES 300h with FWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",4 Cyl,"Mileage: 21,815 miles","$35,150 ",NYC
2016 Land Rover Discovery Sport HSE,SUV,Black,"Used 2016 Land Rover Discovery Sport HSE with 4WD, Leather Seats, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Power Locks",4 Cyl,"Mileage: 13,036 miles","$37,894 ",NYC
2016 Scion iM,Hatchback,Blue,"Used 2016 Scion iM with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",4 Cyl,"Mileage: 11,255 miles","$13,995 ",NYC
2013 Ford Edge SEL,SUV,Gray,"Used 2013 Ford Edge SEL with AWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 67,101 miles","$16,995 ",NYC
2014 Ford Escape Titanium,SUV,Gray,"Used 2014 Ford Escape Titanium with 4WD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",4 Cyl,"Mileage: 25,734 miles","$20,900 ",NYC
2014 Volkswagen Jetta S,Sedan,Blue,"Used 2014 Volkswagen Jetta S with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",4 Cyl,"Mileage: 24,489 miles","$10,999 ",NYC
2014 Honda CR-V LX,SUV,Black,"Used 2014 Honda CR-V LX with AWD, Cruise Control, Rear-View Camera, Air Conditioning, AM/FM",4 Cyl,"Mileage: 32,412 miles","$15,455 ",NYC
2013 Lexus GS 350,Sedan,Gray,"Used 2013 Lexus GS 350 with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",6 Cyl,"Mileage: 38,853 miles","$27,995 ",NYC
2012 BMW X6 xDrive35i,SUV,Blue,"Used 2012 BMW X6 xDrive35i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3",6 Cyl,"Mileage: 61,381 miles","$28,899 ",NYC
2014 Lexus ES 300h,Sedan,Silver,"Used 2014 Lexus ES 300h with FWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Air Conditioning, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers",4 Cyl,"Mileage: 6,684 miles","$28,990 ",NYC
2014 Mercedes-Benz E-Class E 350,Coupe,Black,"Used 2014 Mercedes-Benz E-Class E 350 with AWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows",6 Cyl,"Mileage: 41,957 miles","$27,575 ",NYC
2015 Chevrolet Silverado 1500 LT,Pickup,Black,"Used 2015 Chevrolet Silverado 1500 LT with 4WD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",8 Cyl,"Mileage: 17,001 miles","$34,995 ",NYC
2014 Audi A6,Sedan,Black,"Used 2014 Audi A6 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, DVD",6 Cyl,"Mileage: 58,609 miles","$25,995 ",NYC
2015 Toyota Corolla L,Sedan,Gray,"Used 2015 Toyota Corolla L with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer",4 Cyl,"Mileage: 20,756 miles","$14,336 ",NYC
2015 Mercedes-Benz E-Class E 350,Sedan,White,"Used 2015 Mercedes-Benz E-Class E 350 with AWD, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering",6 Cyl,"Mileage: 28,057 miles","$33,995 ",NYC
2015 Toyota RAV4 LE,SUV,Orange,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,"Mileage: 6,650 miles","$20,959 ",NYC
2015 Mercedes-Benz SLK 250,Convertible,Black,"Used 2015 Mercedes-Benz SLK 250 with RWD, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Satellite Radio, Power Steering, Power Windows, Rear Window Defroster",4 Cyl,"Mileage: 33,457 miles","$29,995 ",NYC
2015 Lexus RX 350,SUV,White,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 19,113 miles","$35,990 ",NYC
2015 Toyota Highlander XLE,SUV,Unspecified,"Used 2015 Toyota Highlander XLE with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 24,919 miles","$31,988 ",NYC
2016 Hyundai Elantra SE,Sedan,Gray,"Used 2016 Hyundai Elantra SE with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers",4 Cyl,"Mileage: 14,054 miles","$13,794 ",NYC
2014 Jeep Grand Cherokee Limited Edition,SUV,Gray,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera",6 Cyl,"Mileage: 28,650 miles","$26,750 ",NYC
2015 Hyundai Tucson Limited Edition,SUV,Red,"Used 2015 Hyundai Tucson Limited Edition with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",4 Cyl,"Mileage: 4,299 miles","$20,800 ",NYC
2014 Lincoln MKZ,Sedan,White,"Used 2014 Lincoln MKZ with AWD, Remote Start, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3",6 Cyl,"Mileage: 29,639 miles","$21,900 ",NYC
2015 Hyundai Sonata Sport,Sedan,Brown,"Used 2015 Hyundai Sonata Sport with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,"Mileage: 20,893 miles","$16,937 ",NYC
2014 Audi A6,Sedan,White,"Used 2014 Audi A6 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats",6 Cyl,"Mileage: 22,956 miles","$29,995 ",NYC
2014 Jeep Grand Cherokee Limited Edition,SUV,Gray,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera",6 Cyl,"Mileage: 22,059 miles","$27,000 ",NYC
2014 Volkswagen Tiguan SE,SUV,White,"Used 2014 Volkswagen Tiguan SE with AWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 12,676 miles","$18,995 ",NYC
2014 Nissan Maxima S,Sedan,Blue,"Used 2014 Nissan Maxima S with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",6 Cyl,"Mileage: 25,528 miles","$16,499 ",NYC
2016 Hyundai Elantra SE,Sedan,Silver,"Used 2016 Hyundai Elantra SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 4,019 miles","$13,937 ",NYC
2014 Honda Accord LX,Sedan,Silver,"Used 2014 Honda Accord LX with FWD, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, Power Steering, Power Windows, Power Locks",4 Cyl,"Mileage: 25,355 miles","$13,995 ",NYC
2014 Toyota Highlander LE,SUV,White,"Used 2014 Toyota Highlander LE with AWD, Third Row Seating, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Power Seat (Driver), Intermittent Wipers",6 Cyl,"Mileage: 18,487 miles","$27,088 ",NYC
2014 Toyota Avalon Limited Edition,Sedan,Black,"Used 2014 Toyota Avalon Limited Edition with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning",6 Cyl,"Mileage: 35,941 miles","$21,890 ",NYC
2011 Subaru Outback 2.5i Limited,Wagon,Gray,"Used 2011 Subaru Outback 2.5i Limited with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,"Mileage: 87,870 miles","$12,669 ",NYC
2014 BMW 3 Series 328i xDrive,Sedan,Gray,"Used 2014 BMW 3 Series 328i xDrive with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",4 Cyl,"Mileage: 44,861 miles","$24,459 ",NYC
2008 Honda CR-V EX,SUV,Red,"Used 2008 Honda CR-V EX with 4WD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",4 Cyl,"Mileage: 39,935 miles","$11,777 ",NYC
2012 Volkswagen Jetta Base,Sedan,Brown,"Used 2012 Volkswagen Jetta Base with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, MP3, Power Steering, AM/FM, Aux Audio Adapter, Intermittent Wipers, Power Locks, Front Airbags (Driver)",4 Cyl,"Mileage: 99,348 miles","$5,500 ",NYC
2014 Chrysler 300 C,Sedan,Gray,"Used 2014 Chrysler 300 C with RWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,"Mileage: 18,144 miles","$21,000 ",NYC
2013 Volkswagen Tiguan S,SUV,White,"Used 2013 Volkswagen Tiguan S with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 27,190 miles","$14,500 ",NYC
2016 Toyota Tacoma,Pickup,Unspecified,"Used 2016 Toyota Tacoma with 4WD, Double Cab, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",6 Cyl,"Mileage: 14,394 miles","$31,995 ",NYC
2015 Lexus RX 350,SUV,Gray,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 22,496 miles","$35,034 ",NYC
2014 Audi A6 2.0T,Sedan,White,"Used 2014 Audi A6 2.0T with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, AM/FM",4 Cyl,"Mileage: 50,916 miles","$24,296 ",NYC
2017 Nissan Maxima Platinum,Sedan,Red,"Used 2017 Nissan Maxima Platinum with FWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter",6 Cyl,"Mileage: 5,127 miles","$32,997 ",NYC
2014 BMW 3 Series 320i xDrive,Sedan,Black,"Used 2014 BMW 3 Series 320i xDrive with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 31,852 miles","$21,296 ",NYC
2015 Ford Explorer Base,SUV,Black,"Used 2015 Ford Explorer Base with 4WD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",6 Cyl,"Mileage: 41,900 miles","$19,995 ",NYC
2015 Mazda CX-5 Touring,SUV,Red,"Used 2015 Mazda CX-5 Touring with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,"Mileage: 12,407 miles","$19,999 ",NYC
2014 Audi A6 2.0T,Sedan,Black,"Used 2014 Audi A6 2.0T with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, AM/FM",4 Cyl,"Mileage: 23,706 miles","$27,549 ",NYC
