model,bodytype,color,specs,engine,mileage,price,city
2014 Honda Accord LX,Sedan,White,"Used 2014 Honda Accord LX with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,"Mileage: 30,750 miles","$14,486 ",NYC
2014 Honda Pilot EXL,SUV,Red,"Used 2014 Honda Pilot EXL with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,"Mileage: 40,868 miles","$21,998 ",NYC
2016 Nissan Altima SR,Sedan,Blue,"Used 2016 Nissan Altima SR with FWD, Fog Lights, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer",4 Cyl,"Mileage: 8,061 miles","$16,095 ",NYC
2015 Jeep Cherokee Latitude,SUV,White,"Used 2015 Jeep Cherokee Latitude with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,"Mileage: 27,946 miles","$17,777 ",NYC
2015 Toyota Corolla S,Sedan,Blue,"Used 2015 Toyota Corolla S with FWD, Fog Lights, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Power Locks",4 Cyl,"Mileage: 32,038 miles","$12,988 ",NYC
2015 Audi A3,Sedan,Red,"Used 2015 Audi A3 with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 11,368 miles","$22,175 ",NYC
2012 BMW X3 xDrive28i,SUV,Black,"Used 2012 BMW X3 xDrive28i with AWD, Alloy Wheels, CD (Single Disc), Air Conditioning, MP3, AM/FM, Aux Audio Adapter, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration, Front Airbags (Driver)",6 Cyl,"Mileage: 60,498 miles","$16,996 ",NYC
2010 Honda Accord EXL,Coupe,White,"Used 2010 Honda Accord EXL with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,"Mileage: 76,296 miles","$9,994 ",NYC
2012 Ford Focus SE,Hatchback,White,"Used 2012 Ford Focus SE with FWD, Fog Lights, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,"Mileage: 55,630 miles","$6,995 ",NYC
2006 Audi A4 1.8T,Convertible,Red,"Used 2006 Audi A4 1.8T with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, Power Steering, Power Windows, AM/FM, Power Seat (Driver)",4 Cyl,"Mileage: 44,448 miles","$7,975 ",NYC
