price,color,mileage,bodytype,model,specs,engine,city
"$41,000 ",Gray,"Mileage: 39,422 miles",SUV,2015 BMW X5 xDrive35i,"Used 2015 BMW X5 xDrive35i with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",6 Cyl,LA
"$16,499 ",Gray,"Mileage: 37,003 miles",Minivan,2014 Ford C-Max SEL,"Used 2014 Ford C-Max SEL with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",4 Cyl,LA
"$31,734 ",Gray,"Mileage: 33,026 miles",SUV,2013 Lexus RX 450h,"Used 2013 Lexus RX 450h with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,LA
"$13,995 ",Gold,"Mileage: 26,155 miles",Sedan,2015 Kia Optima LX,"Used 2015 Kia Optima LX with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,LA
"$14,513 ",White,"Mileage: 14,581 miles",Hatchback,2014 Toyota Prius c One,"Used 2014 Toyota Prius c One with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Trip Computer, Rear Window Defroster, Front Airbags (Driver)",4 Cyl,LA
"$13,988 ",Gray,"Mileage: 17,480 miles",Sedan,2015 Nissan Sentra SR,"Used 2015 Nissan Sentra SR with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",4 Cyl,LA
"$13,783 ",Silver,"Mileage: 56,500 miles",Sedan,2015 Toyota Corolla S,"Used 2015 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,LA
"$16,250 ",Black,"Mileage: 45,385 miles",Sedan,2014 Chrysler 300 Base,"Used 2014 Chrysler 300 Base with RWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, DVD, Air Conditioning, MP3, Satellite Radio",6 Cyl,LA
"$24,397 ",White,"Mileage: 21,181 miles",Pickup,2015 Ram 1500 ST,"Used 2015 Ram 1500 ST with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Quad Cab, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Satellite Radio, Cloth Seats",8 Cyl,LA
"$14,712 ",Black,"Mileage: 33,728 miles",Sedan,2016 Toyota Corolla LE,"Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,LA
