price,mileage,color,model,engine,specs,bodytype,city
"$21,000 ","Mileage: 27,069 miles",White,2014 Ford Escape Titanium,4 Cyl,"Used 2014 Ford Escape Titanium with 4WD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",SUV,Seattle
"$26,000 ","Mileage: 41,692 miles",White,2014 Ford F-150 XLT,8 Cyl,"Used 2014 Ford F-150 XLT with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Pickup,Seattle
"$16,499 ","Mileage: 47,659 miles",Gray,2014 Ford Escape SE,4 Cyl,"Used 2014 Ford Escape SE with 4WD, Fog Lights, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats",SUV,Seattle
"$8,500 ","Mileage: 23,571 miles",Black,2014 Chevrolet Spark LS,4 Cyl,"Used 2014 Chevrolet Spark LS with FWD, Alloy Wheels, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Trip Computer, Intermittent Wipers, Rear Window Defroster",Hatchback,Seattle
"$14,000 ","Mileage: 35,914 miles",White,2016 Ford Fusion SE,4 Cyl,"Used 2016 Ford Fusion SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",Sedan,Seattle
"$14,771 ","Mileage: 44,194 miles",Gray,2014 Mazda Mazda3 i Grand Touring,4 Cyl,"Used 2014 Mazda Mazda3 i Grand Touring with FWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Sedan,Seattle
"$34,998 ","Mileage: 14,500 miles",Red,2014 Chevrolet Silverado 1500 LTZ,8 Cyl,"Used 2014 Chevrolet Silverado 1500 LTZ with 4WD, Remote Start, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering",Pickup,Seattle
"$12,998 ","Mileage: 30,988 miles",Gray,2011 Toyota Prius Two,4 Cyl,"Used 2011 Toyota Prius Two with FWD, Leather Seats, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM",Hatchback,Seattle
"$11,998 ","Mileage: 35,413 miles",Red,2013 Hyundai Veloster,4 Cyl,"Used 2013 Hyundai Veloster with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Trip Computer, Intermittent Wipers",Hatchback,Seattle
"$9,998 ","Mileage: 39,984 miles",Blue,2009 Honda Civic LX,4 Cyl,"Used 2009 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, AM/FM, Intermittent Wipers, Power Locks, Rear Window Defroster",Sedan,Seattle
"$11,999 ","Mileage: 71,977 miles",Gray,2014 Nissan Altima S,4 Cyl,"Used 2014 Nissan Altima S with FWD, Remote Start, Leather Seats, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Sedan,Seattle
"$5,499 ","Mileage: 156,279 miles",Blue,2008 Honda Fit,4 Cyl,,Hatchback,Seattle
"$4,997 ","Mileage: 144,228 miles",Silver,2003 Honda Accord LX,4 Cyl,"Used 2003 Honda Accord LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, Intermittent Wipers, Power Locks, Rear Window Defroster",Sedan,Seattle
"$7,471 ","Mileage: 223,214 miles",Blue,2008 Lexus IS 250,6 Cyl,"Used 2008 Lexus IS 250 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",Sedan,Seattle
"$20,999 ","Mileage: 64,817 miles",Black,2011 Chevrolet Camaro SS,8 Cyl,"Used 2011 Chevrolet Camaro SS with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Satellite Radio, Power Steering, Power Windows",Convertible,Seattle
"$10,000 ","Mileage: 45,721 miles",Silver,2013 Volkswagen Jetta Base,4 Cyl,"Used 2013 Volkswagen Jetta Base with FWD, Split/Folding Seats, Cloth Seats, Power Steering, Power Windows, 4-Wheel Disc Brakes, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",Sedan,Seattle
"$10,995 ","Mileage: 27,231 miles",Black,2014 Volkswagen Jetta S,4 Cyl,"Used 2014 Volkswagen Jetta S with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",Sedan,Seattle
"$11,995 ","Mileage: 38,857 miles",Gray,2014 Toyota Corolla L,4 Cyl,"Used 2014 Toyota Corolla L with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Trip Computer, Rear Window Defroster",Sedan,Seattle
"$9,900 ","Mileage: 37,915 miles",Black,2015 Nissan Sentra S,4 Cyl,"Used 2015 Nissan Sentra S with FWD, Cruise Control, Air Conditioning, Aux Audio Adapter, Intermittent Wipers, Front Airbags (Driver)",Sedan,Seattle
"$13,995 ","Mileage: 57,775 miles",Blue,2011 Audi A3 2.0T,4 Cyl,"Used 2011 Audi A3 2.0T with FWD, Leather Seats, Fog Lights, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM",Hatchback,Seattle
"$5,997 ","Mileage: 95,945 miles",Black,2008 Ford Focus SES,4 Cyl,"Used 2008 Ford Focus SES with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",Sedan,Seattle
"$7,962 ","Mileage: 210,817 miles",Gold,2005 Toyota 4Runner SR5,8 Cyl,"Used 2005 Toyota 4Runner SR5 with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Cloth Seats",SUV,Seattle
"$7,965 ","Mileage: 144,668 miles",Green,2005 Ford F-150 XLT,8 Cyl,"Used 2005 Ford F-150 XLT with RWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",Pickup,Seattle
"$5,471 ","Mileage: 118,878 miles",Blue,2003 Honda Accord LX,4 Cyl,"Used 2003 Honda Accord LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, Intermittent Wipers, Power Locks, Rear Window Defroster",Sedan,Seattle
"$7,995 ","Mileage: 110,785 miles",Gray,2008 Audi A3 2.0T,4 Cyl,"Used 2008 Audi A3 2.0T with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Power Seat (Driver), Intermittent Wipers",Hatchback,Seattle
"$6,995 ","Mileage: 80,024 miles",Blue,2007 Mitsubishi Eclipse GS,4 Cyl,"Used 2007 Mitsubishi Eclipse GS with FWD, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Power Steering, AM/FM, Intermittent Wipers, Power Locks",Convertible,Seattle
"$9,938 ","Mileage: 90,237 miles",Blue,2010 Hyundai Santa Fe GLS,4 Cyl,"Used 2010 Hyundai Santa Fe GLS with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",SUV,Seattle
"$35,999 ",Mileage: 302 miles,Gray,2017 Mercedes-Benz GLA 250,4 Cyl,"Used 2017 Mercedes-Benz GLA 250 with AWD, Leather Seats, Alloy Wheels, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows, AM/FM, Power Seat (Driver), Power Locks",SUV,Seattle
"$36,999 ","Mileage: 14,733 miles",Yellow,2015 Jeep Wrangler Rubicon,6 Cyl,"Used 2015 Jeep Wrangler Rubicon with 4WD, Alloy Wheels, Cruise Control, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Power Locks, Rear Window Defroster",SUV,Seattle
"$25,214 ",Mileage: 748 miles,Red,2017 Subaru Forester 2.5i,4 Cyl,"Used 2017 Subaru Forester 2.5i with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",SUV,Seattle
"$51,492 ","Mileage: 24,779 miles",Silver,2016 Ford F-350 Lariat,8 Cyl,"Used 2016 Ford F-350 Lariat with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Pickup,Seattle
"$29,999 ","Mileage: 9,496 miles",Black,2016 Jeep Wrangler Sport,6 Cyl,"Used 2016 Jeep Wrangler Sport with 4WD, Alloy Wheels, Cruise Control, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, AM/FM",SUV,Seattle
"$16,999 ","Mileage: 13,627 miles",Brown,2016 Chevrolet Trax LT,4 Cyl,"Used 2016 Chevrolet Trax LT with FWD, Alloy Wheels, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Power Seat (Driver)",SUV,Seattle
"$17,601 ","Mileage: 25,680 miles",Black,2014 Chevrolet Volt,4 Cyl,"Used 2014 Chevrolet Volt with FWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",Sedan,Seattle
"$27,777 ","Mileage: 21,095 miles",Black,2014 Ford Explorer XLT,6 Cyl,"Used 2014 Ford Explorer XLT with 4WD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",SUV,Seattle
"$26,000 ","Mileage: 18,925 miles",Red,2015 Ford Edge SEL,4 Cyl,"Used 2015 Ford Edge SEL with AWD, Remote Start, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",SUV,Seattle
"$9,998 ","Mileage: 31,055 miles",Silver,2015 Kia Rio LX,4 Cyl,"Used 2015 Kia Rio LX with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",Sedan,Seattle
"$8,995 ","Mileage: 185,670 miles",Gray,2008 Subaru Impreza WRX,4 Cyl,"Used 2008 Subaru Impreza WRX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, AM/FM, Aux Audio Adapter, Trip Computer",Sedan,Seattle
"$5,995 ","Mileage: 224,813 miles",Silver,2008 Subaru Tribeca,6 Cyl,"Used 2008 Subaru Tribeca with AWD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",SUV,Seattle
"$6,995 ","Mileage: 89,552 miles",Red,2005 Mercury Mariner,6 Cyl,"Used 2005 Mercury Mariner with 4WD, Fog Lights, Alloy Wheels, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Power Windows, AM/FM, Intermittent Wipers",SUV,Seattle
"$5,995 ","Mileage: 148,142 miles",Gray,2001 Chevrolet Tahoe LT,8 Cyl,"Used 2001 Chevrolet Tahoe LT with 4WD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package, Split/Folding Seats, Air Conditioning",SUV,Seattle
"$14,995 ","Mileage: 164,985 miles",Blue,2007 Ford F-250 XLT,8 Cyl,"Used 2007 Ford F-250 XLT with 4WD, Fog Lights, Cruise Control, Towing Package, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Power Locks, Front Airbags (Driver), Power Mirrors",Pickup,Seattle
"$10,995 ","Mileage: 44,933 miles",Silver,2013 Hyundai Elantra GLS,4 Cyl,"Used 2013 Hyundai Elantra GLS with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM",Sedan,Seattle
"$18,995 ","Mileage: 12,764 miles",White,2014 Honda CR-V LX,4 Cyl,"Used 2014 Honda CR-V LX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",SUV,Seattle
"$13,995 ","Mileage: 28,170 miles",Black,2014 Toyota Camry L,4 Cyl,"Used 2014 Toyota Camry L with FWD, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",Sedan,Seattle
"$14,995 ","Mileage: 29,917 miles",Red,2014 Subaru Impreza,4 Cyl,"Used 2014 Subaru Impreza with AWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Trip Computer",Sedan,Seattle
"$13,995 ","Mileage: 40,371 miles",Silver,2013 Toyota Prius,4 Cyl,"Used 2013 Toyota Prius with FWD, Alloy Wheels, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",Hatchback,Seattle
"$11,995 ","Mileage: 59,450 miles",White,2012 Mazda Mazda5 Grand Touring,4 Cyl,"Used 2012 Mazda Mazda5 Grand Touring with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, MP3",Minivan,Seattle
"$24,995 ","Mileage: 28,212 miles",Black,2014 BMW 4 Series 428i xDrive,4 Cyl,"Used 2014 BMW 4 Series 428i xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Coupe,Seattle
"$18,995 ","Mileage: 12,764 miles",White,2014 Honda CR-V LX,4 Cyl,"Used 2014 Honda CR-V LX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",SUV,Seattle
"$18,995 ","Mileage: 52,485 miles",Silver,2013 Toyota RAV4 Limited Edition,4 Cyl,"Used 2013 Toyota RAV4 Limited Edition with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",SUV,Seattle
"$17,321 ","Mileage: 35,573 miles",Black,2014 Kia Sportage EX,4 Cyl,"Used 2014 Kia Sportage EX with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",SUV,Seattle
"$11,495 ","Mileage: 8,881 miles",White,2016 Ford Focus S,4 Cyl,"Used 2016 Ford Focus S with FWD, Keyless Entry, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Sedan,Seattle
"$14,995 ","Mileage: 9,936 miles",Silver,2014 Hyundai Elantra Limited Edition,4 Cyl,"Used 2014 Hyundai Elantra Limited Edition with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",Sedan,Seattle
"$10,995 ","Mileage: 44,933 miles",Silver,2013 Hyundai Elantra GLS,4 Cyl,"Used 2013 Hyundai Elantra GLS with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM",Sedan,Seattle
"$18,995 ","Mileage: 91,521 miles",Red,2014 Honda Pilot EX,6 Cyl,"Used 2014 Honda Pilot EX with 4WD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",SUV,Seattle
"$13,855 ","Mileage: 50,903 miles",Gray,2014 Scion tC Base,4 Cyl,"Used 2014 Scion tC Base with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Trip Computer, Intermittent Wipers",Hatchback,Seattle
"$11,995 ","Mileage: 18,338 miles",Red,2016 Jeep Patriot Sport,4 Cyl,"Used 2016 Jeep Patriot Sport with FWD, Fog Lights, Cruise Control, CD (Single Disc), Split/Folding Seats, MP3, Power Steering, AM/FM, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",SUV,Seattle
"$12,355 ","Mileage: 31,777 miles",Red,2013 Volkswagen Jetta SE,5 Cyl,"Used 2013 Volkswagen Jetta SE with FWD, Power Sun/Moonroof, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Trip Computer",Sedan,Seattle
"$22,999 ","Mileage: 27,869 miles",Silver,2014 Nissan Frontier SV,6 Cyl,"Used 2014 Nissan Frontier SV with 4WD, Alloy Wheels, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM",Pickup,Seattle
"$25,614 ","Mileage: 23,567 miles",White,2014 Lexus ES 350,6 Cyl,"Used 2014 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM",Sedan,Seattle
"$7,995 ","Mileage: 81,616 miles",Black,2010 Scion xD,4 Cyl,"Used 2010 Scion xD with FWD, Keyless Entry, CD (Single Disc), DVD, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Power Locks, Front Airbags (Driver)",Hatchback,Seattle
"$9,595 ","Mileage: 58,217 miles",Black,2013 Mazda Mazda3,4 Cyl,"Used 2013 Mazda Mazda3 with FWD, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Power Locks, Front Airbags (Driver)",Sedan,Seattle
"$9,500 ","Mileage: 83,797 miles",Gray,2013 Scion tC,4 Cyl,"Used 2013 Scion tC with FWD, Power Sun/Moonroof, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Power Locks, Front Airbags (Driver)",Hatchback,Seattle
"$6,900 ","Mileage: 100,198 miles",Silver,2005 Toyota Prius Base,4 Cyl,"Used 2005 Toyota Prius Base with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Power Steering, Power Windows, AM/FM, Trip Computer",Hatchback,Seattle
"$7,275 ","Mileage: 38,414 miles",Blue,2010 Hyundai Elantra GLS,4 Cyl,"Used 2010 Hyundai Elantra GLS with FWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",Sedan,Seattle
"$35,881 ","Mileage: 16,964 miles",Black,2016 Dodge Charger R/T,8 Cyl,"Used 2016 Dodge Charger R/T with RWD, Fog Lights, Keyless Entry, Cruise Control, Split/Folding Seats, DVD, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",Sedan,Seattle
"$11,692 ","Mileage: 59,866 miles",White,2012 Volkswagen Passat SE,5 Cyl,"Used 2012 Volkswagen Passat SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM",Sedan,Seattle
"$15,416 ","Mileage: 87,805 miles",Black,2014 Kia Cadenza Limited,6 Cyl,,Sedan,Seattle
"$27,999 ","Mileage: 69,735 miles",Beige,2014 Ford F-150 Lariat,6 Cyl,"Used 2014 Ford F-150 Lariat with 4WD, Leather Seats, Alloy Wheels, Cruise Control, Heated Seats, CD (Single Disc), Towing Package, Split/Folding Seats, Air Conditioning, Power Steering, Power Windows",Pickup,Seattle
