price,model,specs,color,bodytype,mileage,engine,city
"$13,980 ",2012 Nissan Maxima S,"Used 2012 Nissan Maxima S with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",Silver,Sedan,"Mileage: 67,839 miles",6 Cyl,SanDiego
"$13,850 ",2012 Hyundai Genesis,"Used 2012 Hyundai Genesis with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",Silver,Sedan,"Mileage: 73,728 miles",6 Cyl,SanDiego
"$34,799 ",2017 GMC Acadia SLT,"Used 2017 GMC Acadia SLT with FWD, Remote Start, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",White,SUV,"Mileage: 11,895 miles",6 Cyl,SanDiego
"$5,995 ",2004 BMW X5 3.0i,"Used 2004 BMW X5 3.0i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Power Windows, AM/FM",Silver,SUV,"Mileage: 161,142 miles",6 Cyl,SanDiego
"$10,597 ",2016 Dodge Dart SXT,"Used 2016 Dodge Dart SXT with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer",Gray,Sedan,"Mileage: 43,929 miles",4 Cyl,SanDiego
"$10,697 ",2015 Ford Focus SE,"Used 2015 Ford Focus SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter",Silver,Sedan,"Mileage: 39,585 miles",4 Cyl,SanDiego
"$7,995 ",2014 Nissan Versa S,"Used 2014 Nissan Versa S with FWD, CD (Single Disc), Air Conditioning, MP3, Power Steering, AM/FM, Trip Computer",Silver,Sedan,"Mileage: 53,813 miles",4 Cyl,SanDiego
"$9,890 ",2007 Acura TL Type S,"Used 2007 Acura TL Type S with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, DVD, Air Conditioning",Unspecified,Sedan,"Mileage: 105,131 miles",6 Cyl,SanDiego
"$14,000 ",2010 Infiniti G37 Journey,"Used 2010 Infiniti G37 Journey with RWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",Gray,Sedan,"Mileage: 72,744 miles",6 Cyl,SanDiego
"$11,995 ",2010 Mercury Mountaineer Premier,"Used 2010 Mercury Mountaineer Premier with RWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats",Blue,SUV,"Mileage: 89,346 miles",6 Cyl,SanDiego
"$5,780 ",2009 Nissan Versa,"Used 2009 Nissan Versa with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver), Power Mirrors",Black,Hatchback,"Mileage: 120,593 miles",4 Cyl,SanDiego
"$19,990 ",2013 Lexus CT 200h,"Used 2013 Lexus CT 200h with FWD, Fog Lights, Power Sun/Moonroof, Air Conditioning, Power Steering, Trip Computer, Power Seat (Driver), Power Locks, Handsfree/Bluetooth Integration",Silver,Hatchback,"Mileage: 6,900 miles",4 Cyl,SanDiego
"$11,961 ",2012 Honda Civic EXL,"Used 2012 Honda Civic EXL with FWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Gray,Sedan,"Mileage: 82,648 miles",4 Cyl,SanDiego
"$9,595 ",2013 Ford Focus SE,"Used 2013 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, Trip Computer, Power Seat (Driver), Power Locks, Rear Window Defroster",White,Sedan,"Mileage: 51,804 miles",4 Cyl,SanDiego
"$9,595 ",2010 Ford Edge SEL,"Used 2010 Ford Edge SEL with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM, Trip Computer, Power Seat (Driver)",White,SUV,"Mileage: 112,228 miles",6 Cyl,SanDiego
"$9,697 ",2016 Ford Fiesta SE,"Used 2016 Ford Fiesta SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer",Unspecified,Sedan,"Mileage: 40,629 miles",4 Cyl,SanDiego
"$5,990 ",2010 Scion xD,"Used 2010 Scion xD with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Trip Computer",White,Hatchback,"Mileage: 132,009 miles",4 Cyl,SanDiego
"$8,995 ",2006 Toyota RAV4 Base,"Used 2006 Toyota RAV4 Base with 4WD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",Silver,SUV,"Mileage: 105,466 miles",4 Cyl,SanDiego
"$7,000 ",2008 Volkswagen GTI,"Used 2008 Volkswagen GTI with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",Black,Hatchback,"Mileage: 112,748 miles",4 Cyl,SanDiego
"$16,995 ",2012 Infiniti G37 Journey,"Used 2012 Infiniti G37 Journey with RWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, Power Windows",Black,Sedan,"Mileage: 56,571 miles",6 Cyl,SanDiego
