mileage,specs,color,bodytype,engine,model,price,city
"Mileage: 35,241 miles","Used 2014 Dodge Dart Limited with FWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",Gray,Sedan,4 Cyl,2014 Dodge Dart Limited,"$11,550 ",Miami
"Mileage: 21,660 miles","Used 2015 Jeep Grand Cherokee Limited Edition with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",White,SUV,6 Cyl,2015 Jeep Grand Cherokee Limited Edition,"$26,499 ",Miami
"Mileage: 35,690 miles","Used 2014 Mercedes-Benz E-Class E 350 with RWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), DVD, Air Conditioning, MP3, Power Steering",Red,Sedan,6 Cyl,2014 Mercedes-Benz E-Class E 350,"$28,800 ",Miami
"Mileage: 30,826 miles","Used 2015 Mercedes-Benz S-Class S 550 with RWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",Silver,Sedan,8 Cyl,2015 Mercedes-Benz S-Class S 550,"$59,800 ",Miami
"Mileage: 43,720 miles","Used 2014 Volkswagen Passat SE with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",Gray,Sedan,4 Cyl,2014 Volkswagen Passat SE,"$11,994 ",Miami
"Mileage: 27,244 miles","Used 2015 Volkswagen Tiguan SE with AWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",Silver,SUV,4 Cyl,2015 Volkswagen Tiguan SE,"$18,977 ",Miami
"Mileage: 18,436 miles","Used 2015 Volkswagen Golf SE with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Black,Hatchback,4 Cyl,2015 Volkswagen Golf SE,"$16,732 ",Miami
"Mileage: 21,719 miles","Used 2014 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",Gray,Sedan,4 Cyl,2014 Toyota Corolla LE,"$11,964 ",Miami
"Mileage: 30,030 miles","Used 2015 Volkswagen Passat Limited Edition with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",Silver,Sedan,4 Cyl,2015 Volkswagen Passat Limited Edition,"$13,892 ",Miami
"Mileage: 44,348 miles","Used 2014 Volkswagen Passat SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Blue,Sedan,4 Cyl,2014 Volkswagen Passat SE,"$13,262 ",Miami
"Mileage: 32,320 miles","Used 2015 Volkswagen Passat Sport with FWD, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",White,Sedan,4 Cyl,2015 Volkswagen Passat Sport,"$16,331 ",Miami
"Mileage: 10,618 miles","Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",Gray,Sedan,4 Cyl,2016 Toyota Corolla LE,"$12,544 ",Miami
"Mileage: 9,756 miles","Used 2016 Mercedes-Benz G-Class AMG G 63 with AWD, Leather Seats, Fog Lights, Third Row Seating, Navigation System, Keyless Entry, Heated Seats, Rear-View Camera, Split/Folding Seats, DVD, Air Conditioning",Gray,SUV,8 Cyl,2016 Mercedes-Benz G-Class AMG G 63,"$127,951 ",Miami
"Mileage: 55,562 miles","Used 2013 BMW X5 xDrive35i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows",White,SUV,6 Cyl,2013 BMW X5 xDrive35i,"$19,991 ",Miami
"Mileage: 31,394 miles","Used 2015 Kia Sorento LX with FWD, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration",Silver,SUV,4 Cyl,2015 Kia Sorento LX,"$15,584 ",Miami
